model,provider,proportion,order,trial_index,coordination_tokens,reasoning_tokens,total_context_tokens,mean_score_raw,mean_score_effective,input_tokens_used,output_tokens_used,elapsed_ms,sum_correct,above_count,below_count,equal_count,above_indices,equal_indices,mean_correct,max_above_correct,below_has_zero,no_negatives
gpt-4.1-mini,openai,0.75,coord_first,9,2712,904,4096,1.0,1.0,4075,925,15824.501834002149,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.75,reason_first,13,2712,904,4096,1.0,1.0,4075,668,9536.646666994784,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.0,reason_first,8,0,3616,4096,1.0,1.0,3999,1024,12398.7229580016,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.25,reason_first,8,904,2712,4096,1.0,1.0,4026,808,10103.000540999346,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.9,reason_first,12,3254,362,4096,1.0,1.0,4090,848,14113.938208000036,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.75,coord_first,10,2712,904,4096,1.0,1.0,4075,671,9416.465833004622,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.0,reason_first,9,0,3616,4096,1.0,1.0,3999,981,14488.20104200422,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.9,reason_first,13,3254,362,4096,1.0,1.0,4090,755,13181.489624999813,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.75,coord_first,11,2712,904,4096,1.0,1.0,4075,964,16809.40095800179,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.75,coord_first,12,2712,904,4096,1.0,1.0,4075,659,9092.28508399974,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.9,reason_first,14,3254,362,4096,1.0,1.0,4090,858,12980.362791000516,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.0,coord_first,6,0,3616,4096,1.0,1.0,3999,993,13177.979416002927,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.9,reason_first,15,3254,362,4096,1.0,1.0,4090,860,10758.487332997902,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.5,coord_first,9,1808,1808,4096,1.0,1.0,4047,672,11977.459792004083,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.9,coord_first,4,3254,362,4096,1.0,1.0,4090,689,7862.634499993874,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.9,coord_first,5,3254,362,4096,1.0,1.0,4090,731,9962.666542000079,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.25,reason_first,9,904,2712,4096,1.0,1.0,4026,661,9859.073209001508,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.0,reason_first,10,0,3616,4096,1.0,1.0,3999,772,15535.02437499992,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.75,reason_first,14,2712,904,4096,1.0,1.0,4075,722,10430.139417003375,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.0,coord_first,7,0,3616,4096,1.0,1.0,3999,798,12699.7064160023,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.0,reason_first,11,0,3616,4096,1.0,1.0,3999,1024,16234.547166000993,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.25,reason_first,10,904,2712,4096,1.0,1.0,4026,733,9935.117749999336,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.25,reason_first,11,904,2712,4096,1.0,1.0,4026,984,15076.068624999607,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.25,reason_first,12,904,2712,4096,0.9,0.9,4026,868,14560.412915998313,1,1,1,1,1,1,1,1,1,0
gpt-4.1-mini,openai,0.25,coord_first,13,904,2712,4096,0.9,0.9,4026,669,11874.215875002847,1,1,1,1,1,1,1,1,1,0
gpt-4.1-mini,openai,0.5,coord_first,10,1808,1808,4096,1.0,1.0,4047,763,9707.419915997889,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.9,reason_first,16,3254,362,4096,1.0,1.0,4090,680,9741.627417002746,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.9,coord_first,6,3254,362,4096,1.0,1.0,4090,848,14080.72466700105,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.0,coord_first,8,0,3616,4096,1.0,1.0,3999,823,12526.098333000846,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.5,coord_first,11,1808,1808,4096,1.0,1.0,4047,698,14353.430292001576,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.5,coord_first,12,1808,1808,4096,1.0,1.0,4047,748,9722.229041995888,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.5,coord_first,13,1808,1808,4096,1.0,1.0,4047,718,10540.929957998742,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.75,reason_first,15,2712,904,4096,1.0,1.0,4075,793,10361.170457996195,1,1,1,1,1,1,1,1,1,1
